"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.113554162E-2,-3.926799998E-1,3.863021493E-1,-1.075792955E0,1.208617977E0
4.116854165E-2,-5.780563241E-1,2.612132496E-1,-4.610096848E-1,7.841628690E-1
5.120254168E-2,-3.248403114E-1,-1.751124144E-2,7.337086201E-2,3.334833652E-1
6.123554171E-2,-2.979185611E-2,-1.876026517E-1,3.888439339E-1,4.327608053E-1
7.126954163E-2,6.693834007E-2,-2.009834200E-1,5.136919284E-1,5.556567950E-1
8.130254166E-2,4.362286001E-2,-1.998256713E-1,4.685198486E-1,5.112182522E-1
9.133654169E-2,-4.873157233E-2,-2.619295335E-1,3.432186949E-1,4.344892625E-1
1.013695416E-1,-1.663503617E-1,-3.318096077E-1,1.954086846E-1,4.194694419E-1
1.114035416E-1,-1.057515728E-1,-3.701135480E-1,-6.573966086E-2,3.904985744E-1
1.214365417E-1,-3.844398111E-2,-3.615561479E-1,-2.723048329E-1,4.542584175E-1
1.314705417E-1,-1.197571161E-1,-3.971060497E-1,-3.565298814E-1,5.469447302E-1
1.415035416E-1,-2.859335232E-1,-4.894148737E-1,-3.758695471E-1,6.801197062E-1
1.515375416E-1,-4.363277104E-1,-5.452072513E-1,-3.981556249E-1,8.038412277E-1
1.615705417E-1,-3.032629162E-1,-6.117368710E-1,-5.720196587E-1,8.907282894E-1
1.716045417E-1,-1.892305166E-1,-6.990089035E-1,-7.372964716E-1,1.033454267E0
1.816375416E-1,-3.527040482E-3,-6.916501826E-1,-9.132801211E-1,1.145632138E0
1.916705417E-1,-5.002965420E-2,-7.002268785E-1,-1.045392696E0,1.259232519E0
2.017045417E-1,-9.855014205E-2,-7.080802739E-1,-1.310248761E0,1.492595599E0
2.117375417E-1,-2.166630211E-1,-7.659560144E-1,-1.563884604E0,1.754812393E0
2.217715416E-1,-3.543012151E-1,-7.773265100E-1,-1.743345008E0,1.941395805E0
2.318045417E-1,-4.568938297E-1,-6.367179304E-1,-1.795258927E0,1.958855868E0
2.418385417E-1,-5.250577462E-1,-5.251817071E-1,-1.856175805E0,1.999222369E0
2.518715416E-1,-3.395390421E-1,-4.020738441E-1,-2.148940045E0,2.212440611E0
2.619055416E-1,-2.898131508E-1,-3.259220463E-1,-2.382777801E0,2.422363905E0
2.719385417E-1,-5.530404738E-1,-3.760473025E-1,-2.465924622E0,2.555004811E0
2.819725417E-1,-8.260352781E-1,-2.820205665E-1,-2.336583043E0,2.494291522E0
2.920055416E-1,-9.599666297E-1,-1.707036138E-1,-2.120828971E0,2.334221750E0
3.020395417E-1,-9.334076992E-1,1.411377525E-1,-1.986802018E0,2.199670897E0
3.120725417E-1,-2.771372643E-1,6.997854137E-1,-1.615017920E0,1.781793358E0
3.221065417E-1,1.898196528E0,1.239897986E0,-3.055579484E-2,2.267472322E0
3.321395416E-1,1.689443912E0,1.855978754E0,-6.124724507E-2,2.510503752E0
3.421725417E-1,1.813518759E0,2.389477540E0,-2.356351894E-1,3.008982743E0
