"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.078833354E-3,1.274622846E-1,1.185347557E-2,-9.041841924E-2,1.567246930E-1
1.711383334E-2,7.033747271E-1,-2.815785170E-2,-4.992101294E-1,8.629829805E-1
2.714783332E-2,8.930961174E-1,-4.265894651E-2,-7.255833292E-1,1.151482361E0
3.718183335E-2,8.059112084E-1,-1.623187065E-3,-7.978753799E-1,1.134063769E0
4.721583333E-2,8.183181229E-1,5.198759437E-3,-7.798413974E-1,1.130408856E0
5.724983331E-2,7.469206962E-1,-1.011568308E-2,-6.725110763E-1,1.005118899E0
6.728483335E-2,5.188532656E-1,-4.649881303E-2,-5.401383001E-1,7.504133755E-1
7.731883333E-2,2.166263299E-1,-2.649379259E-1,-3.760712761E-1,5.084768196E-1
8.735283330E-2,-1.692866872E-1,-8.913086236E-2,-2.542954087E-3,1.913341572E-1
9.738683334E-2,-4.612277859E-1,1.297134626E-1,2.065546471E-1,5.217484788E-1
1.074218333E-1,-4.380229644E-1,1.335094750E-1,3.848976481E-1,5.981931935E-1
1.174558334E-1,-3.058434387E-1,-4.980424404E-2,9.269105655E-1,9.773350849E-1
1.274898333E-1,-4.412148133E-1,-3.556136227E-1,1.339038112E0,1.454013283E0
1.375238333E-1,-4.521280566E-1,-2.872134787E-1,1.423381274E0,1.520830567E0
1.475578333E-1,-6.961148241E-1,-3.761999148E-1,1.482176782E0,1.680163753E0
1.575928333E-1,-5.652877593E-1,-2.152395165E-1,1.137662344E0,1.288469600E0
1.676268333E-1,-3.121483451E-1,1.596289873E-3,8.416476363E-1,8.976691379E-1
1.776608333E-1,-1.552634561E-1,-2.296318531E-2,3.957910109E-1,4.257752611E-1
1.876948333E-1,4.068843484E-2,-2.395604253E-2,-3.767770350E-2,6.040736747E-2
1.977298333E-1,1.675022632E-1,-2.983775675E-2,-1.252543759E-1,2.112722381E-1
2.077638333E-1,1.118148431E-1,-3.461884958E-1,-3.462797123E-1,5.022535942E-1
2.177978333E-1,4.920537221E-1,-1.941965568E-1,-6.587145710E-1,8.448278252E-1
2.278318334E-1,6.758428198E-1,-3.423486292E-2,-8.181353974E-1,1.061734935E0
2.378658333E-1,7.007233071E-1,-6.601564944E-2,-6.421552563E-1,9.527510652E-1
2.479008333E-1,3.106567204E-1,-1.567884099E-1,-3.854461169E-1,5.192869269E-1
2.579348334E-1,-2.100600529E-1,-1.157859796E-1,1.625163424E-1,2.897294953E-1
