"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.351124987E-3,2.486826664E-1,1.720812178E-1,5.559474170E-2,3.074829904E-1
1.938512499E-2,2.655860898E-1,2.236476664E-1,-1.030460662E-1,3.621777762E-1
2.942012501E-2,2.501716599E-1,1.925993716E-1,1.285317403E-1,3.408823633E-1
3.945512499E-2,2.635568136E-1,1.520561121E-1,1.659849107E-1,3.466038745E-1
4.949012501E-2,3.164828861E-1,1.373231752E-1,3.807648361E-2,3.470862864E-1
5.952512499E-2,3.769802257E-1,1.192392721E-1,6.473686337E-2,4.006531618E-1
6.955912500E-2,3.686108136E-1,1.282920776E-1,2.961263895E-2,3.914201036E-1
7.959412501E-2,2.466335097E-1,1.248761890E-1,1.688091159E-3,2.764507195E-1
8.962912500E-2,8.701826334E-3,1.088672617E-1,3.039382696E-3,1.092567632E-1
9.966412501E-2,-1.864063114E-1,5.777946247E-2,5.098187327E-3,1.952223623E-1
1.096991250E-1,-2.725875458E-1,-1.461336136E-2,-3.844368875E-2,2.756727003E-1
1.197331250E-1,-2.716750878E-1,-9.753820829E-2,-5.773306847E-2,2.943707910E-1
1.297681250E-1,-2.149819466E-1,-1.635820705E-1,-3.961605549E-2,2.730306998E-1
1.398031250E-1,-1.169919679E-1,-1.599155009E-1,-6.343644261E-3,1.982431078E-1
1.498381250E-1,-1.034167796E-2,-1.278759020E-1,-3.054293096E-2,1.318789871E-1
1.598731250E-1,6.842996478E-2,-7.893514551E-2,-2.606104016E-2,1.076689142E-1
1.699071250E-1,1.088146368E-1,-2.165326282E-2,1.299309790E-2,1.117063542E-1
1.799421250E-1,1.350806218E-1,1.654754721E-2,-9.650244713E-3,1.364321184E-1
1.899771250E-1,1.186344507E-1,2.580529757E-2,1.434205055E-2,1.222527738E-1
2.000121250E-1,7.521507382E-2,2.217169158E-2,1.806672692E-2,8.046923549E-2
2.100471250E-1,5.258664161E-2,1.158603854E-2,1.511154413E-2,5.592807820E-2
2.200811250E-1,5.520444006E-2,-8.004326597E-3,9.320461750E-4,5.578949862E-2
2.301161250E-1,5.926913202E-2,-1.417167731E-2,1.227330565E-3,6.095221725E-2
2.401511250E-1,6.924565136E-3,6.351464912E-3,-1.981738329E-2,2.193215423E-2
2.501861250E-1,-2.624756634E-2,2.428142181E-2,1.240252912E-2,3.784633288E-2
2.602211250E-1,-4.316209942E-2,3.454344973E-2,-2.064067125E-3,5.532157914E-2
2.702551250E-1,-4.861316621E-2,1.353497034E-2,-3.526163399E-2,6.156149920E-2
2.802901250E-1,-4.919204056E-2,-5.147230849E-3,-4.609535515E-2,6.761015166E-2
2.903251250E-1,-9.512572020E-2,-2.714482158E-2,-1.858654439E-2,1.006538803E-1
3.003601250E-1,-1.506514648E-1,-2.378990851E-2,-1.611726522E-2,1.533674992E-1
3.103951250E-1,-1.424519143E-1,-2.433253013E-2,-1.736213744E-2,1.455543325E-1
3.204291250E-1,-8.371751010E-2,-3.377052091E-2,-2.415484786E-2,9.344798690E-2
3.304641250E-1,-1.939433724E-2,-3.570223996E-2,1.078811288E-3,4.064423808E-2
3.404991250E-1,-1.447419763E-2,-2.136119440E-2,1.874032617E-3,2.587112331E-2
3.505344583E-1,4.921893775E-3,-9.971859846E-3,-1.988228738E-2,2.278087748E-2
3.605694583E-1,1.085594058E-2,-6.711287946E-3,-4.327290416E-2,4.511581836E-2
3.706034583E-1,-1.774513006E-2,-7.415219620E-3,-3.451728344E-2,3.951351641E-2
3.806384583E-1,-8.649786115E-2,1.538482837E-2,-3.133230507E-2,9.327532508E-2
3.906734583E-1,-1.347534701E-1,1.398829401E-2,-1.792230070E-2,1.366578902E-1
4.007084583E-1,-1.457029662E-1,-6.746517420E-3,-2.447586000E-2,1.478984029E-1
4.107434583E-1,-2.035056165E-1,-2.929747403E-2,-5.849963844E-2,2.137640887E-1
4.207774583E-1,-3.223581684E-1,-5.073747793E-2,-6.195183456E-2,3.321552501E-1
4.308124583E-1,-3.511931276E-1,-6.446219042E-2,-7.667629302E-2,3.652002749E-1
4.408474583E-1,-2.990608147E-1,-6.668288983E-2,-6.927020967E-2,3.141374550E-1
4.508824583E-1,-2.700504389E-1,-3.992305258E-2,-4.329570830E-2,2.763975544E-1
4.609174583E-1,-2.278344190E-1,-1.895557679E-2,-1.854502916E-2,2.293725234E-1
4.709514583E-1,-1.652437761E-1,-1.271595815E-2,-5.714483857E-2,1.753075404E-1
4.809864583E-1,-1.291530070E-1,-3.056602746E-2,-5.285707533E-2,1.428588522E-1
