"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.214666689E-3,-8.694429606E-1,1.223512334E-1,6.960396874E-1,1.120433904E0
1.224866672E-2,-4.738798450E-1,1.459289610E-2,9.172117889E-2,4.828952627E-1
2.228266664E-2,-3.330661744E-1,3.927633226E-2,-6.403706861E-1,7.228764226E-1
3.231566667E-2,-1.683638504E-1,1.977703750E-2,-8.870068270E-1,9.030607003E-1
4.234966671E-2,3.341367996E-1,-8.204345226E-2,-8.015655577E-1,8.722877233E-1
5.238366663E-2,6.986938848E-1,-1.708492094E-1,-1.098350928E0,1.312911786E0
6.241666665E-2,6.841702782E-1,-2.135724753E-1,-7.054291463E-1,1.005650263E0
7.245066669E-2,4.975273007E-1,-3.585851777E-1,-1.578502643E-1,6.332720194E-1
8.248466672E-2,4.603081651E-1,-3.504230493E-1,-1.052773637E-1,5.880163634E-1
9.251866664E-2,1.750872713E-1,4.193915427E-2,-8.603651583E-2,1.995412922E-1
1.025516667E-1,-3.128576855E-1,2.527377105E-1,1.712649465E-3,4.021930069E-1
1.125856667E-1,-9.180630704E-1,2.300206929E-1,-7.904032230E-2,9.497350646E-1
1.226196666E-1,-8.834732815E-1,1.028396595E-1,-6.591156900E-2,8.918774409E-1
1.326526667E-1,-7.124220508E-1,1.119788575E-1,-2.844418985E-1,7.752365036E-1
1.426866667E-1,-6.965627939E-1,8.074010789E-2,-2.342447215E-1,7.393167660E-1
1.527206667E-1,-9.585181282E-1,1.006042689E-1,-2.625581092E-1,9.989068935E-1
1.627546666E-1,-1.770930125E0,2.989962029E-1,-9.254844296E-1,2.020424130E0
1.727876667E-1,-2.645639965E0,-4.183624327E-2,-1.138503174E0,2.880512206E0
1.828216667E-1,-2.627687843E0,-8.588501447E-1,6.540590179E-1,2.840802734E0
1.928556666E-1,-1.157626200E0,-6.767783743E-1,1.644158104E0,2.121646356E0
2.028886667E-1,2.477563213E-1,4.105055290E-1,8.030308700E-1,9.352842147E-1
2.129226667E-1,-2.032199800E-2,-2.369847268E-1,-1.891293597E-1,3.038826402E-1
2.229566667E-1,-6.526474269E-1,-4.377909762E-1,-1.523983204E-1,8.005216117E-1
2.329906666E-1,-8.209936626E-1,-9.009097517E-1,-3.838480729E-1,1.277892139E0
2.430236667E-1,-4.150529817E-1,-5.102677989E-1,-4.617920423E-1,8.036753664E-1
2.530576667E-1,-8.566580236E-2,-3.360412377E-1,-5.255120748E-1,6.296231285E-1
2.630916666E-1,2.003635786E-1,2.838706255E-2,-2.135865086E-1,2.942287981E-1
2.731246667E-1,9.137579117E-2,3.477695829E-1,-4.677889466E-2,3.626037548E-1
2.831586667E-1,-1.481147599E-1,5.965452200E-1,2.609115332E-1,6.677417239E-1
2.931926667E-1,-3.973385130E-1,6.686776417E-1,4.070948482E-1,8.779145163E-1
3.032266666E-1,-5.570499095E-1,4.524633944E-1,2.478628868E-1,7.592520896E-1
