"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.694291668E-2,-2.674074975E-1,8.141546130E-2,-1.214895877E0,1.246638375E0
3.697791661E-2,-3.793460092E-1,1.396893972E-1,-1.422174994E0,1.478512169E0
4.701291665E-2,-3.980111986E-1,1.506301224E-1,-1.545319694E0,1.602846002E0
5.704791658E-2,-3.493635339E-1,3.100486100E-1,-1.728770238E0,1.790762842E0
6.708191661E-2,2.271804079E-1,9.439113450E-1,-2.912989283E-1,1.013624502E0
7.711691665E-2,1.189780916E0,1.530657801E0,1.268191493E0,2.316635836E0
8.715191658E-2,1.350097536E0,1.408764989E0,1.157185028E0,2.268580909E0
9.718691662E-2,8.022719014E-1,1.213702460E0,7.015436715E-1,1.615201965E0
1.072219167E-1,-4.320215285E-3,9.689713418E-1,1.468370336E-1,9.800434888E-1
1.172559166E-1,-3.038356510E-1,8.920500505E-1,-1.928821027E-2,9.425717110E-1
1.272909166E-1,2.158862185E-1,9.081486046E-1,-1.771566010E-1,9.501185235E-1
1.373259167E-1,9.685199368E-1,1.274207693E0,-1.459541041E-1,1.607152362E0
1.473609166E-1,6.484208402E-1,9.799664462E-1,3.667958379E-2,1.175639917E0
1.573949166E-1,3.140875742E-2,2.431289810E-1,2.227642983E-1,3.312433306E-1
1.674299167E-1,-1.537993133E-1,-3.323387808E-1,4.032158053E-1,5.446891587E-1
1.774649166E-1,-1.131364600E-1,-4.941938031E-1,5.850560260E-1,7.741562679E-1
1.874999166E-1,9.577973127E-2,-3.225879639E-1,8.057749683E-1,8.732182149E-1
1.975349166E-1,2.511836667E-1,-3.456932366E-2,1.021473491E0,1.052471551E0
2.075689166E-1,2.356881067E-1,1.829798430E-1,1.086963476E0,1.127173502E0
2.176039167E-1,2.695234586E-1,1.544553709E-1,7.769113576E-1,8.367141770E-1
2.276389166E-1,1.288603538E-1,-3.117314386E-1,3.928878683E-1,5.178246399E-1
2.376739166E-1,-4.097363278E-2,-6.929295534E-1,4.715720952E-2,6.957398989E-1
2.477089167E-1,3.091063312E-1,1.336790442E-2,1.450197190E-1,3.416959814E-1
2.577429166E-1,1.928345941E-1,1.198568112E-1,2.991365361E-1,3.755442758E-1
2.677779166E-1,6.846914113E-2,-1.218080270E-1,2.094396633E-1,2.517740878E-1
2.778129167E-1,-1.560605778E-1,3.585278749E-2,7.953148842E-2,1.787892166E-1
2.878479166E-1,-2.607185751E-1,-2.032176411E-1,3.564579606E-2,3.324788833E-1
2.978829166E-1,-6.836462215E-2,-4.593841588E-1,-7.002040744E-2,4.696917973E-1
3.079169167E-1,2.384513547E-1,-4.731619531E-1,-2.301405609E-1,5.776728833E-1
3.179519166E-1,-1.160831644E-1,-4.557132769E-1,-1.060690182E0,1.160264433E0
3.279869166E-1,2.543177012E-2,-4.381476563E-1,-1.660618016E0,1.717635683E0
3.380219167E-1,2.332680903E-1,-5.903155965E-1,-1.211159506E0,1.367404057E0
3.480569166E-1,8.721107528E-2,-6.284224856E-1,-9.706834066E-1,1.159632212E0
3.580909166E-1,-2.573805459E-1,-7.512607920E-1,2.290787065E-1,8.265074572E-1
3.681259166E-1,-2.751112041E-1,-6.121514386E-1,-7.559876812E-1,1.010906985E0
3.781609166E-1,1.035846313E-1,-1.807508844E-1,-1.854074315E0,1.865741736E0
3.881959167E-1,-3.152388909E-1,-3.617748338E-1,-1.216426678E0,1.307650737E0
3.982309166E-1,-4.162394549E-1,-4.292359149E-1,-9.162025595E-1,1.094041080E0
4.082649166E-1,-2.180032030E-1,-3.841614836E-1,-6.828846216E-1,8.132876788E-1
4.182999167E-1,-1.442877938E-1,-4.741910630E-1,-2.787660062E-2,4.964405670E-1
4.283349166E-1,2.495153099E-2,-6.073736787E-1,1.079957927E0,1.239287896E0
4.383699166E-1,8.343962118E-2,-7.777130109E-1,1.541013805E0,1.728156024E0
4.484049167E-1,1.979676089E-1,-6.640495706E-1,1.072855899E0,1.277173749E0
4.584389166E-1,2.592759208E-1,-5.514473999E-1,6.754446244E-1,9.096942775E-1
4.684739166E-1,2.213891794E-1,-3.103210902E-1,3.261296225E-1,5.016700892E-1
4.785089167E-1,5.357350543E-2,-1.453322527E-1,-1.673742092E-1,2.280476048E-1
4.885439166E-1,-1.034599029E-1,-1.560291490E-1,-3.564158607E-1,4.025932346E-1
4.985779166E-1,3.331480354E-2,1.397046000E-1,-4.107973051E-1,4.351800516E-1
5.086129167E-1,-7.155530155E-4,3.727415791E-1,-5.039639157E-1,6.268304597E-1
